titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Hyundai Grand I10 2024|autos|hatchback|Hyundai|Grand I10|2024|US$ 13,490|"Gas GLP|Mecánica
Lima, Lima
GARANTÍA VIGENTE GRAND I10 FULL GLP"|Gas Glp|Mecánica|||Lima, Lima|[]|https://neoauto.com/auto/nuevo/hyundai-grand-i10-2024-1846385|nuevos|https://neoauto.com/venta-de-autos-nuevos--hatchback?page=1
Hyundai I20 2024|autos|hatchback|Hyundai|I20|2024|US$ 16,490|"Gas GLP|Mecánica
Lima, Lima
ENTREGA INMEDIATA VERSIÓN SPORT GLP"|Gas Glp|Mecánica|||Lima, Lima|[]|https://neoauto.com/auto/nuevo/hyundai-i20-2024-1846394|nuevos|https://neoauto.com/venta-de-autos-nuevos--hatchback?page=1
Hyundai I20 Hb 2026|autos|hatchback|Hyundai|I20 Hb|2026|US$ 18,890|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Hyundai"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/hyundai-i20-hb-2026-1702776|nuevos|https://neoauto.com/venta-de-autos-nuevos--hatchback?page=1
Mazda 2 Sport 2025|autos|hatchback|Mazda|2 Sport|2025|US$ 21,490|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-2-sport-2025-1827034|nuevos|https://neoauto.com/venta-de-autos-nuevos--hatchback?page=1
Mazda 3 Sport 2025|autos|hatchback|Mazda|3 Sport|2025|US$ 26,990|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Mecánica||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-3-sport-2025-1705781|nuevos|https://neoauto.com/venta-de-autos-nuevos--hatchback?page=1
Ford Mustang 2024|autos|hatchback|Ford|Mustang|2024|US$ 61,990|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Ford"|Gasolina|Automática||0.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/ford-mustang-2024-1827049|nuevos|https://neoauto.com/venta-de-autos-nuevos--hatchback?page=1
