titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina|img_urls
Mercedes Benz Glc 200 Coupe 2020|autos|camionetas-suv|Mercedes Benz|Glc 200 Coupe|2020|US$ 44,900|"Gasolina|Automática
Kilometraje:
33,600 Kms
Lima, Lima
Coupe Kit AMG 4MATIC, GARANTÍA DIVEMOTOR"|Gasolina|Automática||33600.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mercedes-benz-glc-200-coupe-2020-1847850|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=5|['https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_4854124.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_6802823.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_2180667.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_9302116.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_2665932.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_1976701.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_9576590.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8252623.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_5362805.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_9432331.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_3595880.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_3135322.webp']
Kia Sportage 2023|autos|camionetas-suv|Kia|Sportage|2023|US$ 26,900|"Gasolina|Automática - Secuencial
Kilometraje:
25,000 Kms
Lima, Lima
KIA SPORTAGE"|Gasolina|Automática|Secuencial|25000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/kia-sportage-2023-1845339|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=5|['https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3468109.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_6857443.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7857719.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4596995.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_8989123.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4842014.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4362145.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_3189990.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_4604209.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7006246.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7249720.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_7184199.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_9877731.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_9638635.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_1957596.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/257099/257099_1290795.webp']
Land Rover Discovery Sport 2024|autos|camionetas-suv|Land Rover|Discovery Sport|2024|US$ 62,990|"Gasolina|Automática
Kilometraje:
6,745 Kms
Lima, Lima
ENTREGA INMEDIATA"|Gasolina|Automática||6745.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/land-rover-discovery-sport-2024-1845795|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=5|['https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8505258.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_9785093.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_4891637.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6385725.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6894155.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_5960726.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_8067648.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_4708683.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_9482143.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_7259982.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_1498575.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_6465435.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_7720740.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_2096163.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_2835363.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_5388268.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/518808/518808_3228071.webp']
Lexus Rx 450hl 2021|autos|camionetas-suv|Lexus|Rx 450hl|2021|US$ 49,000|"Híbrido|Automática - Secuencial
Kilometraje:
64,278 Kms
Lima, Lima
LEXUS RX 450H L 3,5 LTS 4X4 CVT"|Híbrido|Automática|Secuencial|64278.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/lexus-rx-450hl-2021-1849672|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=5|['https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_1224278.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_4787987.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_5741477.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_5488328.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_3593992.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_8341395.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_9963424.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_2476711.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_1321786.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_3556121.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/692838/692838_1868883.webp']
Porsche Macan 2025|autos|camionetas-suv|Porsche|Macan|2025|US$ 83,000|"Gasolina|Automática - Secuencial
Kilometraje:
1,101 Kms
Lima, Lima
PORSCHE MACAN 2025"|Gasolina|Automática|Secuencial|1101.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/porsche-macan-2025-1843708|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=5|['https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1044327.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5171070.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5887773.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_2093475.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1585122.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7476333.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8965037.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9488689.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3236100.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9726673.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8885832.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7728072.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6540787.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7396338.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_4882631.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6868144.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7422217.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6610692.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5196652.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1179053.webp']
Jeep Renegade 2024|autos|camionetas-suv|Jeep|Renegade|2024|US$ 23,500|"Gasolina|Automática
Kilometraje:
11,500 Kms
Lima, Lima
Longitude 4x2, GARANTÍA Y SERVICIOS DIVEMOTOR"|Gasolina|Automática||11500.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/jeep-renegade-2024-1851141|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=5|['https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_5002050.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_5934103.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_3803725.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_4083297.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8890230.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_9532946.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_1401181.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_7232195.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_6967305.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_3487470.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_3776591.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_6135293.webp']
Mercedes Benz Gle 450 4 Matic 2022|autos|camionetas-suv|Mercedes Benz|Gle 450 4 Matic|2022|US$ 75,000|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
8,596 Kms
Lima, Lima
MERCEDES BENZ GLE 450 4MATIC 2022"|Gasolina-Híbrido|Automática|Secuencial|8596.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-gle-450-4-matic-2022-1847853|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9850715.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7024504.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3782654.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7445441.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1772821.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3228907.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1666691.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3874686.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3860801.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9460801.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5128485.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6535803.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_2107533.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6633380.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_4226849.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6374703.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8894477.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6830883.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5557620.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3707907.webp']
Volkswagen Tiguan 2021|autos|camionetas-suv|Volkswagen|Tiguan|2021|US$ 20,900|"Gasolina|Automática - Secuencial
Kilometraje:
59,300 Kms
Lima, Lima
MOTOR 1.4T - SENSORES DELANTETOS Y POSTERIORES - AUTOMATICO"|Gasolina|Automática|Secuencial|59300.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-2021-1850242|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_3528077.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_3563492.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_6673379.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_4134398.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_7861714.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_8609081.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_2863368.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_2589019.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_4386295.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_7947533.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_4110622.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_9771778.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_2224451.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_6873658.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_4930129.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_1246728.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/490916/490916_2908045.webp']
Toyota 4runner 2018|autos|camionetas-suv|Toyota|4runner|2018|US$ 45,900|"Gasolina|Automática - Secuencial
Kilometraje:
46,996 Kms
Lima, Lima
TOYOTA 4RUNNER 4.0LT AT LIMITED / JC UGARTE"|Gasolina|Automática|Secuencial|46996.0|Lima, Lima|PREMIUM|https://neoauto.com/auto/seminuevo/toyota-4runner-2018-1849989|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5436838.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5090856.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_2511748.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8365434.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8174678.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7303783.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5152713.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1622416.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5263582.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3615630.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6860187.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9355372.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_4186626.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1232406.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8877223.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_4624943.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6286286.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_6389263.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5739736.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7368285.webp']
Volkswagen Tiguan 2018|autos|camionetas-suv|Volkswagen|Tiguan|2018|US$ 19,900|"Gasolina|Automática - Secuencial
Kilometraje:
91,000 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|91000.0|Lima, Lima|SUPER EQUIPADO|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-2018-1851969|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_9215673.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_2216797.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_8190882.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_3993256.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_7950313.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_4361036.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_1460021.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_5739455.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_8993842.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_9543983.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_6873508.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_3366397.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_4323860.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_2495826.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_3481394.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_5762897.webp']
Volvo Xc-60 2019|autos|camionetas-suv|Volvo|Xc-60|2019|US$ 38,900|"Gasolina|Automática - Secuencial
Kilometraje:
45,000 Kms
Lima, Lima
VOLVO XC-60 T6 INSCRIPTION"|Gasolina|Automática|Secuencial|45000.0|Lima, Lima|UNICO DUEÑO|https://neoauto.com/auto/seminuevo/volvo-xc-60-2019-1851264|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_7276302.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_8324698.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_8449343.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_4429067.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_6636187.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_4003023.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_4655647.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_9648443.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_3451087.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/747531/747531_7048440.webp']
Mercedes Benz Glc 200 2024|autos|camionetas-suv|Mercedes Benz|Glc 200|2024|US$ 63,900|"Gasolina-Híbrido|Automática - Secuencial
Kilometraje:
13,212 Kms
Lima, Lima
MERCEDES BENZ GLC 200 4 MATIC ADVANCE PLUS 2024"|Gasolina-Híbrido|Automática|Secuencial|13212.0|Lima, Lima|DE LUJO|https://neoauto.com/auto/seminuevo/mercedes-benz-glc-200-2024-1849462|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_2632291.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8499059.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3176311.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9795286.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3525343.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5670324.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_8325483.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7316364.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7811793.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9068450.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1983653.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5189894.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_1543586.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_2510093.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_9398675.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_3107739.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5622573.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_7392246.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_5335456.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/113873/113873_4117200.webp']
Volkswagen Tiguan 2022|autos|camionetas-suv|Volkswagen|Tiguan|2022|US$ 31,900|"Gasolina|Automática - Secuencial
Kilometraje:
25,000 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|25000.0|Lima, Lima|COMO NUEVO|https://neoauto.com/auto/seminuevo/volkswagen-tiguan-2022-1849839|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_4036467.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_1401239.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_5769714.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_3575777.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_1585385.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_1366611.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_3527823.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_7257671.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_4870181.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_9574701.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_2604460.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_5414692.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_2058446.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_9914738.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_1882884.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_5025330.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_7388443.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/754271/754271_5159197.webp']
Mercedes Benz Gle 450 4 Matic 2024|autos|camionetas-suv|Mercedes Benz|Gle 450 4 Matic|2024|US$ 86,500|"Gasolina-Híbrido|Automática
Kilometraje:
11,500 Kms
Lima, Lima
Kit AMG (SUNROOF),GARANTÍA DIVEMOTOR Y SERVICIOS GRATIS"|Gasolina-Híbrido|Automática||11500.0|Lima, Lima|SUPER EQUIPADO|https://neoauto.com/auto/seminuevo/mercedes-benz-gle-450-4-matic-2024-1848771|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_7444057.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8458041.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8788264.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_2903573.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_1561138.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_4595856.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_9440899.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8281194.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_4317356.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_5373831.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8311947.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/470963/470963_8342173.webp']
Peugeot 3008 2020|autos|camionetas-suv|Peugeot|3008|2020|US$ 22,990|"Gasolina|Automática - Secuencial
Kilometraje:
72,000 Kms
Lima, Lima"|Gasolina|Automática|Secuencial|72000.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/peugeot-3008-2020-1843406|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_7112629.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_9953424.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_4326468.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_7571360.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_1997639.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_4067088.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_9368143.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_9654876.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_7400709.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/752061/752061_5284834.webp']
Mazda Cx-30 2024|autos|camionetas-suv|Mazda|Cx-30|2024|US$ 23,000|"Gasolina|Automática
Kilometraje:
11,308 Kms
Lima, Lima"|Gasolina|Automática||11308.0|Lima, Lima|SEMINUEVO|https://neoauto.com/auto/seminuevo/mazda-cx-30-2024-1843124|seminuevos|https://neoauto.com/venta-de-autos-seminuevos--camionetas-suv?page=6|['https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_6040374.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_5382447.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_9444759.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_1698186.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_4128901.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_9511943.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_6611393.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_3078904.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_5047634.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_9152181.webp', 'https://cdn.neoauto.com/elements/autos_usados/196x165/734431/734431_9899734.webp']
