titulo|tipo_vehiculo|categoria|marca|modelo|año|precio|detalle|combustible|tipo_transmision|caja|kilometraje_km|ubicacion|tags|url_auto|tipo|pagina
Honda Type R 2025|autos|deportivo|Honda|Type R|2025|US$ 58,990|"Gasolina|Mecánica
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Honda"|Gasolina|Mecánica||0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/honda-type-r-2025-1827045|nuevos|https://neoauto.com/venta-de-autos-nuevos--deportivo?page=1
Mazda Mx 5 2025|autos|deportivo|Mazda|Mx 5|2025|US$ 45,490|"Gasolina|Automática
Lima, Lima
Compra Tu Próximo 0KM En Maquinarias Mazda"|Gasolina|Automática||0|Lima, Lima|PREMIUM|https://neoauto.com/auto/nuevo/mazda-mx-5-2025-1827040|nuevos|https://neoauto.com/venta-de-autos-nuevos--deportivo?page=1
